Instance,PyBoolNet,SAF,SAF_SharpSAT-TD,fASP_conj,fASP_src,AEON,Hybrid_BMSA,Tseitin_SharpSAT-TD,PI_SharpSAT-TD,Hybrid_SharpSAT-TD
001,TIMEOUT,5.65,6.04,66.60,113.75,17.60,3.05,3.20,3.89,3.61
002,40.78,6.42,7.42,2.58,1.52,0.17,2.70,3.14,4.05,3.83
003,0.09,2.41,3.45,0.09,0.09,0.01,1.68,2.56,2.70,2.68
004,TIMEOUT,31.06,17.54,OUT_OF_MEMORY,TIMEOUT,1.55,34.05,3.67,5.23,4.60
005,0.28,3.06,3.14,0.10,0.10,0.02,1.91,1.66,1.87,1.89
006,0.10,2.81,3.91,0.10,0.09,0.03,1.82,2.70,2.88,2.81
007,0.09,2.16,2.17,0.09,0.08,0.01,1.58,1.47,1.54,1.55
008,0.10,3.36,4.42,0.10,0.09,0.02,1.70,2.58,2.71,2.68
009,14.85,3.27,3.26,0.20,0.15,0.06,2.07,1.74,2.16,2.06
010,0.11,2.33,3.39,0.09,0.09,0.02,1.61,2.58,2.66,2.64
011,0.11,2.67,2.70,0.10,0.09,0.02,1.78,1.64,1.81,1.78
012,0.13,3.05,4.24,0.10,0.11,0.12,1.93,2.75,3.00,2.95
013,0.10,2.32,2.37,0.10,0.09,0.02,1.68,1.54,1.67,1.64
014,0.17,3.19,4.20,0.10,0.10,0.04,2.07,2.74,3.07,2.99
015,0.10,2.23,2.25,0.09,0.08,0.02,1.57,1.55,1.59,1.56
016,1.83,3.33,3.31,0.82,0.11,0.07,2.06,1.83,2.12,2.06
017,0.47,2.82,3.85,0.14,0.35,0.04,1.81,2.70,2.87,2.80
018,TIMEOUT,4.75,4.74,TIMEOUT,24.64,0.24,3.52,2.93,3.48,3.33
019,2.81,3.15,4.19,1.09,0.11,0.06,1.99,2.75,3.02,2.92
020,0.10,2.60,2.65,0.10,0.09,0.01,1.76,1.60,1.81,1.76
021,0.09,2.15,3.18,0.09,0.09,0.02,1.61,2.51,2.66,2.62
022,0.12,2.22,3.26,0.10,0.10,0.01,1.69,2.59,2.75,2.69
023,0.11,2.25,2.29,0.10,0.10,0.02,1.65,1.59,1.69,1.62
024,0.11,2.40,3.47,0.10,0.10,0.02,1.73,2.59,2.77,2.73
025,0.17,4.31,5.39,0.11,0.10,0.04,2.02,2.76,3.12,3.02
026,0.10,2.38,2.40,0.10,0.09,0.02,1.75,1.61,1.72,1.72
027,1.20,2.32,3.35,0.24,0.10,0.01,1.68,2.53,2.65,2.67
028,0.10,2.16,2.20,0.09,0.09,0.02,1.59,1.51,1.61,1.57
029,0.09,2.14,2.17,0.09,0.10,0.01,1.56,1.50,1.61,1.53
030,0.10,2.21,2.26,0.09,0.10,0.02,1.62,1.53,1.62,1.62
031,0.10,2.21,2.21,0.09,0.09,0.01,1.66,1.49,1.64,1.59
032,0.10,2.43,3.49,0.10,0.09,0.01,1.75,2.58,2.76,2.70
033,0.19,2.30,3.35,0.11,0.11,0.02,1.74,2.60,2.74,2.74
034,0.20,2.31,3.35,0.12,0.11,0.01,1.78,2.65,2.75,2.77
035,0.12,2.20,3.24,0.10,0.10,0.02,1.68,2.63,2.67,2.67
036,0.11,2.21,3.25,0.10,0.09,0.01,1.73,2.57,2.69,2.68
037,0.12,2.19,3.23,0.10,0.10,0.02,1.63,2.53,2.71,2.67
038,0.26,2.52,3.53,0.13,0.15,0.02,1.79,2.67,2.78,2.80
039,502.18,6.00,7.08,2.05,0.13,0.90,2.39,2.92,3.47,3.36
040,0.10,2.22,3.28,0.09,0.09,0.02,1.65,2.55,2.70,2.63
041,5.30,3.73,4.84,0.63,0.18,0.77,2.31,3.06,3.45,3.39
042,0.88,2.62,3.65,0.11,0.11,0.01,1.75,1.61,2.75,2.69
043,0.11,2.58,3.61,0.09,0.09,0.01,1.75,2.62,2.81,2.74
044,0.10,2.47,3.50,0.09,0.09,0.01,1.72,2.66,2.76,2.72
045,0.70,2.31,2.33,0.17,0.13,0.02,1.64,1.56,1.66,1.63
046,0.16,2.97,4.03,0.10,0.13,0.04,1.93,2.71,2.99,2.92
047,0.11,2.18,2.18,0.09,0.09,0.02,1.59,1.55,1.61,1.61
048,684.60,2.77,3.82,10.25,12.96,0.06,1.81,2.68,2.86,2.84
049,0.10,2.21,2.24,0.09,0.09,0.01,1.62,1.52,1.66,1.67
050,TIMEOUT,38.05,5.23,OUT_OF_MEMORY,TIMEOUT,270.40,261.21,3.09,3.66,3.41
051,0.10,2.99,3.01,0.10,0.11,0.05,1.94,1.70,1.95,1.95
052,0.15,2.40,3.44,0.11,0.11,0.02,1.70,2.62,2.83,2.60
053,0.12,2.40,3.44,0.09,0.09,0.01,1.69,2.56,2.66,2.63
054,0.10,2.93,3.91,0.10,0.10,0.03,1.83,2.66,2.91,2.84
055,0.78,3.72,4.74,0.10,0.09,0.01,1.79,2.61,2.80,2.85
056,TIMEOUT,2.88,3.88,OUT_OF_MEMORY,0.92,0.04,2.02,2.74,2.96,2.90
057,0.16,2.67,2.64,0.09,0.09,0.02,1.76,1.60,1.79,1.74
058,0.18,2.89,2.88,0.10,0.09,0.01,1.80,1.66,1.91,1.80
059,0.11,2.98,3.97,0.11,0.11,0.06,1.84,2.71,2.99,2.89
060,0.71,3.79,4.86,0.11,0.12,0.03,2.44,2.95,3.52,3.45
061,0.27,2.67,2.76,0.09,0.10,0.01,1.76,1.65,1.83,1.73
062,1.16,2.68,3.72,0.09,0.10,0.02,1.78,2.65,2.83,2.83
063,0.09,2.16,3.19,0.08,0.09,0.02,1.61,2.53,2.66,2.57
064,0.10,2.10,3.12,0.09,0.09,0.01,1.60,2.57,2.64,2.64
065,0.60,3.12,4.14,0.10,0.09,0.02,1.98,2.76,3.05,2.89
066,0.46,2.66,3.76,0.14,0.13,0.03,1.80,2.66,2.81,2.83
067,0.10,2.24,3.29,0.09,0.10,0.01,1.54,2.55,2.58,2.57
068,0.10,2.39,2.44,0.09,0.09,0.02,1.70,1.56,1.74,1.65
069,0.10,2.31,2.33,0.09,0.09,0.02,1.67,1.52,1.70,1.63
070,0.11,3.86,4.95,0.10,0.10,0.03,1.80,2.70,2.91,2.85
071,1.30,2.45,2.46,0.36,0.30,0.02,1.71,1.63,1.78,1.70
072,7.95,3.07,4.03,2.12,5.57,0.19,2.02,2.81,3.19,2.93
073,0.96,3.08,4.18,0.10,0.09,0.02,1.86,2.66,2.84,2.85
074,0.10,2.28,2.32,0.10,0.09,0.01,1.65,1.55,1.64,1.63
075,TIMEOUT,110.18,104.61,0.10,0.11,0.02,2.69,1.90,3.48,2.64
076,0.10,2.77,3.79,0.10,0.09,0.03,1.79,2.71,2.84,2.82
077,0.25,2.98,3.00,0.15,0.11,0.03,1.91,1.70,1.97,1.94
078,TIMEOUT,5.77,6.81,18.03,3.06,20.86,2.68,3.20,3.88,3.73
079,TIMEOUT,ERROR,ERROR,227.71,221.42,1.19,ERROR,12.34,90.38,40.85
080,7.02,3.40,4.49,2.23,0.47,0.24,2.13,2.84,3.28,3.22
081,0.09,2.52,2.54,0.09,0.09,0.02,1.79,1.66,1.82,1.79
082,17.47,3.95,4.99,5.75,1.21,0.38,2.37,3.04,3.59,3.50
083,68.06,5.13,6.27,0.29,0.20,3.76,2.94,3.42,4.42,3.98
084,TIMEOUT,3.21,4.27,OUT_OF_MEMORY,3.02,0.06,2.06,2.73,2.98,3.04
085,0.11,3.40,4.43,0.10,0.10,0.02,1.73,2.68,2.77,2.76
086,0.67,2.71,3.76,0.09,0.10,0.02,1.98,2.69,3.15,2.93
087,TIMEOUT,5.16,4.56,OUT_OF_MEMORY,8.35,0.31,2.60,2.88,3.18,3.10
088,0.09,2.04,3.09,0.09,0.09,0.01,1.57,2.50,2.60,2.62
089,2.80,3.32,4.34,0.11,0.11,0.02,2.31,2.90,3.39,3.31
090,0.16,2.62,3.70,0.09,0.10,0.01,1.78,2.64,2.88,2.84
091,0.23,2.70,3.75,0.10,0.10,0.02,1.98,2.66,3.02,2.91
092,1.02,3.00,4.08,0.11,0.11,0.05,1.90,2.70,3.01,2.98
093,7.60,3.23,4.26,1.30,0.69,0.09,2.09,2.81,3.23,3.03
094,0.30,2.48,3.49,0.11,0.12,0.02,1.68,2.62,2.79,2.72
095,0.10,2.24,3.28,0.09,0.10,0.02,1.66,2.54,2.68,2.69
096,0.10,2.41,3.42,0.09,0.09,0.02,1.74,2.56,2.74,2.75
097,0.10,2.10,2.15,0.09,0.09,0.02,1.54,2.49,1.60,1.56
098,0.41,2.65,3.76,0.18,0.16,0.03,1.73,2.63,2.80,2.75
099,0.11,2.31,3.38,0.09,0.09,0.01,1.72,2.59,2.72,2.70
100,0.10,2.22,2.29,0.10,0.10,0.01,1.65,1.53,1.66,1.66
101,TIMEOUT,4.47,5.37,OUT_OF_MEMORY,4.71,0.07,2.19,2.75,3.08,2.97
102,0.10,2.44,2.48,0.09,0.10,0.01,1.67,1.58,1.79,1.75
103,0.10,2.84,2.88,0.10,0.09,0.03,1.88,1.68,1.91,1.87
104,0.11,2.42,3.46,0.09,0.09,0.02,1.72,2.62,2.82,2.71
105,0.33,2.83,2.88,0.10,0.09,0.02,1.85,1.65,1.84,1.87
106,TIMEOUT,3.19,4.25,OUT_OF_MEMORY,10.98,0.06,2.08,2.75,3.25,3.10
107,0.12,2.75,3.86,0.10,0.09,0.02,1.79,1.63,2.81,2.78
108,0.10,2.55,2.59,0.09,0.09,0.02,1.77,1.60,1.73,1.75
109,0.10,2.22,2.27,0.09,0.08,0.02,1.55,1.52,1.56,1.59
110,0.10,2.10,2.12,0.09,0.09,0.02,1.56,1.50,1.61,1.53
111,2.32,2.31,2.36,0.50,0.12,0.02,1.65,1.56,1.73,1.65
112,TIMEOUT,4.74,4.55,OUT_OF_MEMORY,11.65,0.23,4.11,2.79,3.13,3.12
113,TIMEOUT,OUT_OF_MEMORY,4.76,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,2.91,3.36,3.20
114,TIMEOUT,192.18,4.28,OUT_OF_MEMORY,TIMEOUT,0.69,OUT_OF_MEMORY,2.74,3.00,2.90
115,472.10,2.41,3.48,18.44,1.11,0.03,1.80,2.57,2.71,2.67
116,TIMEOUT,TIMEOUT,5.95,OUT_OF_MEMORY,TIMEOUT,3.65,OUT_OF_MEMORY,2.91,3.32,3.11
117,TIMEOUT,2.38,3.38,44.79,10.68,0.04,1.76,2.61,2.78,2.72
118,TIMEOUT,211.22,4.43,OUT_OF_MEMORY,TIMEOUT,1.65,OUT_OF_MEMORY,2.88,3.12,3.08
119,0.11,2.21,2.19,0.09,0.18,0.01,1.60,1.52,1.64,1.65
120,TIMEOUT,OUT_OF_MEMORY,7.72,OUT_OF_MEMORY,TIMEOUT,1574.91,OUT_OF_MEMORY,2.90,3.43,3.30
121,TIMEOUT,2.85,3.87,27.17,0.65,0.05,1.84,2.68,2.85,2.82
122,TIMEOUT,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,3.61,TIMEOUT,5.57
123,681.68,2.62,2.68,33.77,32.17,0.05,1.77,1.61,1.76,1.77
124,TIMEOUT,OUT_OF_MEMORY,4.60,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,2.97,3.30,3.22
125,TIMEOUT,2.84,3.74,OUT_OF_MEMORY,5.84,0.05,1.93,2.71,2.87,2.84
126,TIMEOUT,2.31,3.38,125.09,15.35,0.03,1.67,2.63,2.74,2.69
127,TIMEOUT,23.42,4.11,OUT_OF_MEMORY,522.50,0.18,9.81,2.70,2.89,2.91
128,TIMEOUT,TIMEOUT,4.00,OUT_OF_MEMORY,1.96,0.20,68.06,2.72,2.94,2.92
129,0.09,2.36,2.39,0.09,0.09,0.02,1.66,1.65,1.68,1.67
130,TIMEOUT,47.37,4.41,OUT_OF_MEMORY,91.30,0.89,106.08,1.75,2.96,2.92
131,1.19,2.25,2.28,0.29,0.17,0.02,1.65,1.55,1.61,1.63
132,914.45,5.08,6.10,83.17,1.37,0.27,2.26,1.91,3.35,3.09
133,0.09,2.10,3.12,0.09,0.09,0.02,1.60,2.50,2.64,2.55
134,0.10,2.49,3.58,0.10,0.10,0.02,1.76,2.63,2.77,2.80
135,0.09,2.20,2.23,0.09,0.09,0.01,1.69,1.61,1.67,1.64
136,0.10,2.29,3.33,0.09,0.09,0.02,1.70,2.56,2.67,2.66
137,0.22,2.84,2.84,0.15,0.12,0.06,1.87,1.69,1.91,1.86
138,1.41,2.31,2.34,0.30,0.11,0.01,1.67,1.57,1.74,1.77
139,0.32,2.48,3.52,0.11,0.09,0.02,1.71,2.59,2.74,2.68
140,TIMEOUT,3.48,4.55,73.54,13.70,0.22,2.03,2.78,3.07,3.05
141,0.15,2.67,2.73,0.10,0.09,0.02,1.82,1.63,1.83,1.83
142,31.75,3.64,4.72,0.10,0.10,0.02,2.11,2.73,3.20,3.05
143,TIMEOUT,4.29,4.72,OUT_OF_MEMORY,TIMEOUT,0.84,3.20,3.03,3.68,3.42
144,TIMEOUT,OUT_OF_MEMORY,5.53,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,3.16,3.69,3.47
145,0.75,2.99,3.02,0.16,0.10,0.02,1.98,1.68,1.89,1.82
146,TIMEOUT,77.71,81.13,9.17,5.22,0.52,8.87,5.42,12.67,10.01
147,1.07,2.62,3.60,0.17,0.10,0.01,1.86,2.64,2.91,2.84
148,0.14,4.35,4.41,0.17,0.11,0.03,2.06,1.77,2.10,1.99
149,0.82,2.63,2.65,0.11,0.10,0.02,1.88,1.65,1.92,1.87
150,0.10,2.38,3.42,0.16,0.10,0.01,1.72,2.61,2.74,2.74
151,176.14,5.97,7.17,0.21,0.22,0.26,3.63,3.66,5.35,4.54
152,TIMEOUT,14.25,15.41,0.94,0.57,0.09,4.89,4.12,6.74,5.75
153,0.09,2.24,2.27,0.09,0.11,0.02,1.66,1.57,1.66,1.70
154,0.10,2.40,3.43,0.10,0.10,0.02,1.79,2.60,2.77,2.81
155,TIMEOUT,3.32,4.24,TIMEOUT,TIMEOUT,0.20,2.30,2.85,3.23,3.15
156,12.13,2.79,3.84,1.39,1.66,0.03,1.93,2.74,3.01,3.02
157,TIMEOUT,6.11,4.75,OUT_OF_MEMORY,TIMEOUT,1.77,21.17,2.98,3.47,3.35
158,0.10,2.28,2.31,0.13,0.16,0.02,1.72,1.54,1.76,1.67
159,TIMEOUT,53.93,54.08,2.83,4.60,0.28,7.28,4.94,10.13,8.16
160,942.47,3.45,4.50,23.96,4.37,0.24,2.36,2.96,3.52,3.48
161,1.04,4.65,5.69,0.11,0.18,0.07,2.18,1.92,3.44,3.16
162,0.22,2.38,3.52,0.10,0.17,0.01,1.76,2.63,2.87,2.78
163,0.45,2.69,3.80,0.12,0.18,0.02,1.87,2.65,2.88,2.93
164,0.27,2.56,3.59,0.12,0.23,0.02,1.80,2.68,2.92,2.86
165,0.10,2.14,3.20,0.09,0.15,0.01,1.58,2.51,2.65,2.61
166,0.43,2.38,3.47,0.13,0.18,0.02,1.69,2.62,2.68,2.69
167,116.06,3.19,4.20,10.58,15.70,0.09,2.52,2.97,3.66,3.41
168,0.14,2.25,3.31,0.09,0.15,0.02,1.75,1.59,2.74,2.69
169,0.12,2.17,2.22,0.09,0.15,0.02,1.66,1.59,1.69,1.62
170,0.13,2.14,3.17,0.12,0.16,0.01,1.67,2.55,2.73,2.72
171,0.13,2.18,3.23,0.09,0.16,0.01,1.65,2.53,2.72,2.70
172,0.09,2.19,3.25,0.09,0.15,0.01,1.55,2.49,2.52,2.58
173,2.24,2.86,3.90,0.64,1.96,0.06,1.88,2.70,3.02,2.92
174,0.19,2.51,3.56,0.09,0.15,0.01,1.71,2.61,2.87,2.75
175,0.84,2.77,3.80,0.15,0.21,0.03,2.01,2.72,3.03,2.99
176,0.34,3.09,3.06,0.11,0.18,0.02,2.03,1.78,2.29,2.26
177,2.10,4.24,5.31,0.10,0.18,0.02,2.05,2.77,3.16,3.06
178,0.10,2.53,3.71,0.10,0.16,0.03,1.73,2.62,2.76,2.77
179,2.30,3.44,4.51,0.15,0.32,0.05,2.25,2.96,3.62,3.33
180,0.12,2.30,3.37,0.09,0.16,0.02,1.70,2.65,2.73,2.69
181,0.23,2.74,2.80,0.10,0.17,0.02,1.92,1.69,2.00,1.93
182,0.31,2.70,3.74,0.10,0.18,0.02,1.94,2.78,3.10,2.93
183,0.98,2.83,3.88,0.10,0.17,0.02,1.95,2.77,3.07,2.91
184,0.09,2.09,2.13,0.09,0.16,0.01,1.58,1.56,1.60,1.64
185,0.20,2.24,3.31,0.10,0.16,0.02,1.80,2.61,2.86,2.81
186,0.21,2.19,3.24,0.09,0.16,0.01,1.75,2.56,2.81,2.76
187,0.14,2.48,3.52,0.10,0.16,0.01,1.81,2.61,2.84,2.76
188,0.36,2.87,3.95,0.15,0.25,0.02,2.09,2.78,3.08,3.06
189,0.10,2.13,2.16,0.09,0.15,0.02,1.62,1.49,1.60,1.61
190,0.12,2.58,2.65,0.10,0.16,0.02,1.81,1.68,1.88,1.82
191,0.15,2.42,3.45,0.10,0.15,0.01,1.78,2.64,2.84,2.78
192,0.50,3.75,4.85,0.13,0.22,0.59,2.46,3.19,3.85,3.50
193,0.76,3.75,4.86,0.10,0.17,0.02,2.01,2.75,3.12,3.04
194,TIMEOUT,5.77,4.57,OUT_OF_MEMORY,991.77,0.72,4.17,3.05,3.49,3.52
195,TIMEOUT,108.69,5.67,OUT_OF_MEMORY,TIMEOUT,149.42,29.90,3.25,3.96,3.82
196,4.04,3.72,4.80,0.11,0.12,0.06,2.37,2.99,3.74,3.45
197,68.17,4.30,5.26,0.26,0.25,0.09,3.03,3.54,5.26,4.52
198,0.13,2.30,3.32,0.09,0.10,0.02,1.64,2.59,2.79,2.79
199,0.27,2.83,3.84,0.09,0.10,0.02,1.77,2.63,2.88,2.81
200,0.12,2.59,3.64,0.10,0.09,0.02,1.80,2.67,2.90,2.94
201,0.14,2.71,3.69,0.10,0.09,0.02,1.76,2.70,2.79,2.82
202,0.14,2.91,3.97,0.09,0.10,0.01,1.78,2.67,2.81,2.81
203,0.43,3.07,4.13,0.10,0.10,0.02,2.09,2.79,3.15,3.18
204,0.20,3.33,3.41,0.11,0.10,0.11,2.13,1.83,2.37,2.21
205,TIMEOUT,2.91,3.99,0.10,0.09,0.02,1.91,2.73,2.98,2.88
206,616.09,3.76,4.80,0.10,0.10,0.02,1.79,2.72,2.88,2.85
207,TIMEOUT,7.23,8.24,0.95,0.14,0.12,2.56,3.03,3.79,3.59
208,0.10,2.24,3.28,0.09,0.09,0.01,1.60,2.52,2.68,2.67
209,2.64,5.48,6.59,0.11,0.11,0.18,2.43,2.96,3.64,3.48
210,3.95,4.14,4.11,0.11,0.10,0.11,2.36,1.96,2.54,2.41
211,37.54,5.67,5.77,0.11,0.12,3.00,2.62,2.12,2.94,2.58
212,0.10,2.26,2.29,0.09,0.09,0.01,1.63,1.51,1.62,1.59
213,0.34,2.78,3.83,0.15,0.13,0.05,1.89,2.69,2.91,2.82
214,TIMEOUT,2.86,3.79,27.24,1.92,0.12,2.03,2.71,2.94,2.85
215,TIMEOUT,2.99,3.99,OUT_OF_MEMORY,82.45,0.06,2.16,2.69,2.87,2.83
216,26.57,2.87,3.91,4.29,1.72,0.05,1.86,2.72,2.85,2.83
217,TIMEOUT,3.00,3.80,OUT_OF_MEMORY,501.58,0.04,4.14,2.61,2.83,2.79
218,TIMEOUT,175.97,55.74,OUT_OF_MEMORY,109.71,0.61,574.84,2.78,3.30,3.31
219,TIMEOUT,9.71,4.86,OUT_OF_MEMORY,TIMEOUT,0.45,24.19,2.76,2.88,2.86
220,TIMEOUT,TIMEOUT,9.64,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT,3.32,4.37,4.07
221,TIMEOUT,TIMEOUT,5.84,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,3.31,3.84,3.64
222,TIMEOUT,15.37,5.77,OUT_OF_MEMORY,296.88,3.48,TIMEOUT,3.11,3.85,3.51
223,TIMEOUT,5.93,4.64,OUT_OF_MEMORY,439.07,5.09,4.44,2.90,3.29,3.15
224,0.16,3.49,3.54,0.13,0.11,0.07,1.99,1.79,2.10,2.03
225,TIMEOUT,3.39,3.46,151.12,6.45,0.23,2.02,1.78,2.01,1.94
226,0.12,2.99,3.01,0.12,0.09,0.05,1.84,1.70,1.90,1.93
227,TIMEOUT,8.83,9.63,OUT_OF_MEMORY,6.11,0.05,3.63,2.74,3.25,3.16
228,0.11,2.94,4.02,0.10,0.10,0.03,1.88,2.69,2.89,2.80
229,0.21,2.98,2.99,0.10,0.10,0.02,1.87,1.72,1.98,1.85
230,0.10,2.54,2.57,0.10,0.10,0.03,1.80,1.64,1.82,1.79
